Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
1252,Maluma ,Felices los 4,176,0.0,80,0,285261,39158450
1253,Drake ,Free Smoke,89,9.0,2,(x1),2411546,39074289
1254,Gunna ,P power,112,1.0,10,0,754419,39009578
1255,Martin Garrix ,There for You,103,0.0,30,0,588376,38986100
1256,Chris Brown ,Ayo,300,0.0,22,0,312158,38923396
1257,J. Cole ,Kevin’s Heart,65,7.0,3,(x1),3200312,38876039
1258,PinkPantheress ,Pain,125,0.0,41,0,399829,38859397
1259,Axwell /\ Ingrosso ,More Than You Know,140,0.0,54,0,357396,38820609
1260,Post Malone ,Takin' Shots,70,1.0,9,0,2741318,38797502
1261,Bella Poarch ,Build a Bitch,98,0.0,25,0,627884,38791472
1262,Khalid ,My Bad,77,1.0,5,0,1311786,38773023
1263,Bad Bunny ,Callaita,133,0.0,32,0,925036,38763386
1264,The Carters ,APESHIT,96,0.0,21,0,782091,38747584
1265,Juice WRLD ,Bad Boy,105,7.0,3,(x4),1311221,38692795
1266,Paul McCartney ,Wonderful Christmastime [Edited Version]  Remastered 2011 / Edited Version,81,0.0,12,0,1548449,38690720
1267,Taylor Swift ,champagne problems,86,8.0,2,(x5),3247516,38667750
1268,Katy Perry ,Chained To The Rhythm,96,3.0,8,0,793359,38655612
1269,A Boogie Wit da Hoodie ,My Shit,224,0.0,72,0,257495,38647385
1270,Tove Lo ,Cool Girl,112,0.0,20,0,568765,38626414
1271,Nebu Kiniza ,Gassed Up,201,0.0,72,0,284875,38611542
1272,Doja Cat ,Juicy,133,0.0,61,0,388243,38580608
1273,Avicii ,Lonely Together,132,0.0,41,0,665615,38574770
1274,Drake ,Sticky,92,6.0,4,0,2729748,38564856
1275,Doja Cat ,Like That,145,0.0,78,0,355007,38548756
1276,Metro Boomin ,Don't Come Out The House,102,0.0,11,0,1003594,38522839
1277,Olivia Rodrigo ,hope ur ok,77,0.0,12,0,1818132,38505781
1278,Rachel Platten ,Fight Song,217,0.0,14,0,361303,38399295
1279,Normani ,Motivation,99,0.0,26,0,592408,38387736
1280,Coldplay ,Adventure of a Lifetime,187,1.0,9,0,576521,38340714
1281,Iggy Azalea ,Fancy,265,14.0,3,(x1),303592,38339579
1282,Rae Sremmurd ,Look Alive,226,0.0,79,0,222654,38303341
1283,6ix9ine,TATI,124,0.0,19,0,696029,38279853
1284,Olivia Rodrigo ,All I Want,130,0.0,32,0,495093,38269468
1285,Anne,Marie  Alarm,160,0.0,59,0,306051,38266800
1286,King Von ,Took Her To The O,140,0.0,25,0,554150,38210416
1287,DJ Khaled ,STAYING ALIVE,85,9.0,2,(x1),1153831,38209343
1288,Joyner Lucas ,Ramen & OJ,118,0.0,31,0,514763,38205698
1289,Future ,Used to This,135,0.0,25,0,452438,38172608
1290,Drake ,With You,160,0.0,17,0,626496,38137637
1291,Metallica ,Master Of Puppets,91,10.0,6,0,898009,38117862
1292,Ty Dolla $ign ,Spicy,144,1.0,7,0,997206,38093021
1293,Judy Garland ,Have Yourself A Merry Little Christmas,94,0.0,33,0,1325216,37996382
1294,Kanye West ,Pt. 2,190,3.0,10,0,701464,37809811
1295,Meghan Trainor ,Lips Are Movin,198,42.0,4,0,391392,37798732
1296,Mr.Kitty ,After Dark,151,0.0,114,0,303811,37792811
1297,ZAYN ,LIKE I WOULD,115,0.0,11,0,613242,37778917
1298,ScHoolboy Q ,THat Part,189,0.0,30,0,417319,37731283
1299,Drake ,Teenage Fever,106,3.0,10,0,1620596,37554438
1300,Foo Fighters ,Everlong,138,0.0,36,0,405671,37520275
1301,The Weeknd ,Sidewalks,107,10.0,6,0,1010546,37445842
1302,Joey Bada$$ ,Devastated,219,0.0,67,0,378377,37402203
1303,Juice WRLD ,Fast,90,7.0,6,0,1445114,37381807
1304,Meek Mill ,Sharing Locations,99,1.0,10,0,780208,37363421
1305,Mother Mother ,Hayloft,133,0.0,58,0,339783,37325330
1306,Ariana Grande ,bad idea,59,7.0,5,0,2610031,37267051
1307,Internet Money ,Blastoff,111,0.0,13,0,856202,37233300
1308,Future ,Drankin N Smokin,125,2.0,5,0,1083019,37178805
1309,Aventura ,Volví,106,3.0,5,0,1215433,37155827
1310,Ed Sheeran ,Perfect Duet (Ed Sheeran & Beyoncé),92,6.0,3,(x1),1286639,37076096
1311,Lil Durk ,3 Headed Goat,138,0.0,39,0,544928,37066331
1312,Demi Lovato ,Cool for the Summer,150,0.0,11,0,429835,37034004
1313,Sam Feldt ,Post Malone,124,0.0,34,0,518092,37032413
1314,Fat Joe ,All The Way Up,188,0.0,51,0,336681,36979952
1315,Bryce Vine ,Drew Barrymore,105,0.0,45,0,524957,36902844
1316,Bad Bunny ,Otro Atardecer,115,0.0,22,0,1105369,36840103
1317,Calvin Harris ,Outside,239,0.0,18,0,294856,36830285
1318,6ix9ine,STOOPID,75,4.0,5,0,1459751,36793453
1319,Kygo ,Firestone,311,0.0,29,0,239338,36785148
1320,John Lennon ,Happy Xmas (War Is Over)  Remastered,99,0.0,15,0,1363542,36768316
1321,Kendrick Lamar ,PRIDE.,92,4.0,8,0,2178611,36728595
1322,Brent Faiyaz ,Dead Man Walking,128,0.0,35,0,536743,36687713
1323,Rod Wave ,By Your Side,113,0.0,34,0,456546,36673061
1324,Donny Hathaway ,This Christmas,92,0.0,30,0,1426804,36663687
1325,Bebe Rexha ,I Got You,150,0.0,57,0,356632,36612941
1326,Major Lazer ,Run Up,104,0.0,23,0,554587,36529486
1327,Lil Uzi Vert ,That's A Rack,106,0.0,33,0,669040,36500377
1328,Eminem ,Without Me,158,0.0,29,0,482917,36410442
1329,Nardo Wick ,Dah Dah DahDah,95,0.0,24,0,616600,36319897
1330,G,Eazy  1942,111,0.0,33,0,589086,36303331
1331,Nicki Minaj ,Bed,78,0.0,20,0,772122,36281305
1332,Drake ,Blem,79,8.0,5,0,1830398,36275542
1333,Lil Uzi Vert ,Baby Pluto,68,11.0,1,(x2),3364245,36192827
1334,Zac Brown Band ,Chicken Fried,151,0.0,14,0,652311,36184251
1335,Petit Biscuit ,Sunset Lover,140,0.0,55,0,319673,36146543
1336,Bad Bunny ,Un Coco,122,0.0,28,0,1014546,36095670
1337,Juice WRLD ,Hear Me Calling,92,0.0,11,0,1185443,36021604
1338,Marshmello ,Project Dreams,128,0.0,72,0,364099,36010708
1339,Kungs ,This Girl  Kungs Vs. Cookin' On 3 Burners,128,0.0,28,0,506036,36008168
1340,Juice WRLD ,Blood On My Jeans,78,7.0,8,0,2622193,35979731
1341,Dan + Shay ,Glad You Exist,148,0.0,26,0,503958,35932635
1342,blackbear ,do re mi,130,0.0,55,0,358217,35925140
1343,ZHU ,Working For It  Bonus Track,135,0.0,46,0,371229,35811214
1344,Rod Wave ,Rags2Riches 2,98,0.0,22,0,602473,35783137
1345,Chris Brown ,Pills & Automobiles,149,0.0,70,0,347566,35766738
1346,Jeremih ,Planez,244,0.0,57,0,210351,35758456
1347,Miley Cyrus ,Party In The U.S.A.,135,0.0,15,0,852761,35748063
1348,Dreamville ,Costa Rica,114,0.0,20,0,717365,35737065
1349,Jonas Blue ,Rise,93,0.0,29,0,596555,35668867
1350,Ariana Grande ,Problem,277,12.0,6,0,344965,35661474
1351,Black Eyed Peas ,RITMO (Bad Boys For Life),120,0.0,76,0,362597,35566452
1352,Lorde ,Green Light,92,0.0,11,0,966789,35545428
1353,Saweetie ,Tap In,110,0.0,25,0,537217,35519560
1354,DaBaby ,Masterpiece,146,0.0,55,0,410504,35472828
1355,AJR ,World's Smallest Violin,129,0.0,75,0,316903,35413229
1356,Blake Shelton ,God's Country,124,0.0,59,0,388109,35394209
1357,Bobby Shmurda ,Hot N*gga,228,3.0,9,0,382109,35391630
1358,Frank Sinatra ,Jingle Bells  Remastered 1999,63,0.0,19,0,2029316,35381102
1359,Martin Jensen ,Solo Dance,140,0.0,68,0,319578,35182986
1360,Matoma ,Running Out,194,0.0,52,0,242209,35179841
1361,Jonas Blue ,Mama,126,0.0,54,0,358747,35176363
1362,J. Cole ,ATM,56,7.0,3,(x5),3408026,35156454
1363,YoungBoy Never Broke Again ,Kacey Talk,145,0.0,30,0,487976,35145047
1364,Billie Eilish ,Your Power,71,9.0,1,(x1),2088133,35111253
1365,2 Chainz,Good Drank,190,0.0,55,0,374269,35102155
1366,Beach Weather ,Sex Drugs Etc.,112,0.0,51,0,377646,35092006
1367,Bad Bunny ,Andrea,112,0.0,25,0,999201,35085957
1368,Harry Styles ,Little Freak,67,8.0,5,0,2785290,35042124
1369,Disclosure ,Latch,274,0.0,12,0,240855,35040300
1370,Jaymes Young ,Infinity,116,0.0,55,0,401330,35009706
1371,Drake ,Spin Bout U,53,7.0,5,0,3619172,34999036
1372,Calvin Harris ,Summer,320,0.0,13,0,214644,34971061
1373,Taylor Swift ,End Game,92,0.0,21,0,601411,34834044
1374,Steve Aoki ,Just Hold On,100,0.0,25,0,503133,34773564
1375,Drake ,No Friends In The Industry,65,5.0,8,0,3694638,34759904
1376,Bing Crosby ,Do You Hear What I Hear?,101,0.0,29,0,1305116,34741723
1377,Dua Lipa ,Physical,108,0.0,27,0,706726,34730152
1378,Sam Hunt ,Leave The Night On,308,0.0,22,0,187534,34721582
1379,Lil Baby ,Heatin Up,99,1.0,3,(x1),1383309,34712534
1380,Ariana Grande ,bloodline,56,6.0,5,0,2657076,34711489
1381,Tyga ,SWISH,98,0.0,23,0,697263,34570097
1382,Niall Horan ,This Town,156,0.0,12,0,716734,34544191
1383,2 Chainz,Bigger Than You,107,0.0,14,0,875127,34467944
1384,Nelly ,The Fix,184,0.0,42,0,294561,34379158
1385,Drake ,Emotionless,42,7.0,2,(x1),4842941,34344959
1386,Meghan Trainor ,Made You Look,66,0.0,24,0,759300,34342321
1387,X Ambassadors ,Unsteady,219,0.0,93,0,211226,34331656
1388,DaBaby ,FIND MY WAY,79,8.0,4,0,1324318,34319287
1389,Demi Lovato ,Body Say,129,0.0,45,0,377953,34246166
1390,OneRepublic ,Counting Stars,337,0.0,36,0,140997,34229004
1391,Kendrick Lamar ,King Kunta,261,7.0,1,(x3),703039,34225970
1392,SOB X RBE ,Paramedic!,91,0.0,16,0,829908,34212750
1393,YG ,Why You Always Hatin?,185,0.0,86,0,233346,34210856
1394,Jason Derulo ,If It Ain't Love,114,0.0,40,0,407602,34209480
1395,Melanie Martinez ,Play Date,91,0.0,35,0,500721,34165887
1396,Kodak Black ,Patty Cake,181,0.0,127,0,222083,34158324
1397,ILOVEMAKONNEN ,Tuesday,209,14.0,8,0,310329,34009596
1398,G,Eazy  Calm Down,252,0.0,52,0,230359,33995673
1399,Tori Kelly ,Hollow,187,0.0,50,0,257602,33923685
1400,Lady Gaga ,The Cure,96,0.0,36,0,609233,33917544
1401,Andy Grammer ,Fresh Eyes,113,0.0,38,0,406495,33892531
1402,Kanye West ,Yikes,62,7.0,3,(x3),2386030,33877095
1403,Ghost ,Mary On A Cross,86,0.0,27,0,564774,33860020
1404,Jack Harlow ,Dua Lipa,74,3.0,7,0,1762710,33818973
1405,Dominic Fike ,3 Nights,117,0.0,40,0,477809,33818461
1406,Joel Corry ,Head & Heart,116,0.0,51,0,394531,33780521
1407,Roddy Ricch ,Tip Toe,97,0.0,38,0,585348,33753889
1408,Gesaffelstein ,Lost in the Fire,86,5.0,7,0,1238188,33729127
1409,Kendrick Lamar ,YAH.,67,7.0,5,0,2572839,33680519
1410,Nicki Minaj ,Feeling Myself,286,0.0,33,0,201134,33670845
1411,Bing Crosby ,Winter Wonderland,102,0.0,13,0,1048504,33586557
1412,NAV ,Turks,99,0.0,14,0,772950,33555764
1413,Brett Eldredge ,Baby It's Cold Outside,92,0.0,22,0,1096766,33555350
1414,Taylor Swift ,Would've Could've Should've,48,0.0,14,0,1819160,33543719
1415,Trippie Redd ,6 Kiss,91,2.0,7,0,1090325,33472853
1416,Polo G ,Bad Man (Smooth Criminal),91,0.0,20,0,1001151,33440572
1417,Kevin Gates ,Big Gangsta,108,0.0,38,0,413539,33419132
1418,Billie Eilish ,TV,103,1.0,8,0,869763,33410882
1419,NAV ,Some Way,179,0.0,61,0,383088,33388503
1420,Armani White ,BILLIE EILISH.,101,0.0,42,0,443870,33370246
1421,Post Malone ,No Option,158,0.0,104,0,268030,33368501
1422,YoungBoy Never Broke Again ,Slime Belief,141,0.0,138,0,275137,33352084
1423,Marshmello ,Numb,126,0.0,57,0,458944,33325524
1424,Polo G ,GANG GANG,90,0.0,20,0,927521,33276808
1425,Trippie Redd ,Shake It Up,121,0.0,42,0,598810,33147889
1426,Internet Money ,His & Hers,113,0.0,33,0,660095,33133955
1427,Metro Boomin ,Superhero (Heroes & Villains) [with Future & Chris Brown],27,11.0,1,(x1),1773679,33127276
1428,Maluma ,Hawái,93,0.0,27,0,530403,33107405
1429,Coldplay ,A Sky Full of Stars,267,0.0,18,0,214878,33101321
1430,Nicki Minaj ,Anaconda,220,22.0,6,0,323822,33077731
1431,Lil Yachty ,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),80,0.0,30,0,790767,33053745
1432,Bazzi ,Beautiful,102,0.0,52,0,459132,33048178
1433,Jonas Brothers ,What A Man Gotta Do,78,0.0,22,0,1009325,33009718
1434,Arctic Monkeys ,I Wanna Be Yours,105,0.0,67,0,375665,32996699
1435,Internet Money ,Somebody,103,0.0,48,0,427241,32988734
1436,Kid Ink ,Promise,189,0.0,61,0,255485,32970385
1437,Lee Brice ,One Of Them Girls,131,0.0,53,0,332798,32969825
1438,21 Savage,Immortal,90,1.0,7,0,915688,32944588
1439,The Kid LAROI ,Thousand Miles,96,7.0,3,(x1),950356,32849517
1440,SpotemGottem ,Beat Box 3,92,0.0,30,0,499363,32841611
1441,Harry Styles ,Grapejuice,56,8.0,4,0,3003406,32762005
1442,ROSALÍA ,DESPECHÁ,95,0.0,34,0,454819,32745017
1443,Adele ,When We Were Young,132,0.0,21,0,621581,32744780
1444,Drake ,Diamonds Dancing,177,0.0,14,0,393273,32701453
1445,Kanye West ,Champions,162,0.0,54,0,307042,32670186
1446,Anne,Marie  2002,129,0.0,74,0,373515,32669648
1447,DJ ESCO ,Too Much Sauce,171,0.0,69,0,243470,32633178
1448,Idina Menzel ,Into the Unknown,103,0.0,30,0,554924,32601986
1449,Fall Out Boy ,Uma Thurman,267,0.0,37,0,194162,32593348
1450,Adele ,Water Under the Bridge,133,0.0,42,0,399531,32512873
1451,J. Cole ,Motiv8,54,7.0,4,0,3357778,32491973
1452,Chance the Rapper ,All Night,132,0.0,44,0,445892,32466025
1453,Andy Grammer ,Honey I'm Good.,153,0.0,16,0,346987,32406527
1454,SAYGRACE ,You Don't Own Me,165,0.0,39,0,391102,32396064
1455,Sia ,The Greatest,76,0.0,12,0,668573,32383116
1456,DeJ Loaf ,Back Up,222,0.0,48,0,218405,32375664
1457,YBN Nahmir ,Opp Stoppa,104,0.0,41,0,422797,32323596
1458,Elle King ,Ex's & Oh's,175,0.0,22,0,369016,32309968
1459,Sleepy Hallow ,Die Young,83,0.0,28,0,695525,32279009
1460,Moneybagg Yo ,Wockesha,108,0.0,50,0,408654,32240474
1461,Noah Cyrus ,Make Me (Cry),120,0.0,52,0,339287,32239430
1462,Nardo Wick ,Me or Sum,118,0.0,60,0,360374,32108987
1463,Bad Bunny ,Si Veo a Tu Mamá,85,4.0,4,0,1246255,32078410
1464,Drake ,Do Not Disturb,109,0.0,19,0,1276948,32069594
1465,Drake ,Can’t Take A Joke,55,1.0,9,0,3642782,32029655
1466,Sia ,The Greatest,67,0.0,14,0,643281,31996625
1467,Nico & Vinz ,Am I Wrong,234,3.0,8,0,275642,31990791
1468,Camila Cabello ,Crying in the Club,90,0.0,47,0,440387,31952661
1469,Lil Wayne ,Don't Cry,47,7.0,2,(x5),4213664,31856866
1470,King Princess ,1950,117,0.0,63,0,419779,31846652
1471,Luis Fonsi ,Échame La Culpa,113,0.0,47,0,472413,31845232
1472,Selena Gomez ,The Heart Wants What It Wants,158,23.0,3,(x1),380738,31762355
1473,Nate Smith ,Whiskey On You,121,0.0,72,0,409434,31720619
1474,A Boogie Wit da Hoodie ,Demons and Angels,97,0.0,30,0,784378,31713523
1475,George Ezra ,Budapest,269,0.0,38,0,237231,31696250
1476,Beach Bunny ,Cloud 9,106,0.0,36,0,418533,31676799
1477,Lil Baby ,Hats Off,102,0.0,20,0,803198,31650216
1478,Alesso ,Heroes (we could be),193,0.0,16,0,306240,31641137
1479,Lizzo ,Good As Hell,86,0.0,21,0,761636,31639258
1480,DJ Snake ,Loco Contigo,106,0.0,53,0,437174,31617689
1481,Anuel AA ,Secreto,108,0.0,88,0,394096,31599434
1482,Lauv ,fuck i'm lonely,85,0.0,21,0,663845,31599244
1483,Post Malone ,A Thousand Bad Times,63,3.0,9,0,2295134,31577616
1484,Tory Lanez ,Freaky,101,0.0,63,0,416544,31554748
1485,Sheppard ,Geronimo,265,0.0,22,0,208057,31537349
1486,The Weeknd ,Wasted Times,52,8.0,3,(x1),2305758,31536116
1487,Russ ,BEST ON EARTH,115,0.0,55,0,418381,31525891
1488,J. Cole ,Immortal,86,8.0,2,(x4),2361543,31468094
1489,Ariana Grande ,One Last Time,180,0.0,13,0,362136,31452518
1490,Bad Bunny ,La Difícil,75,6.0,3,(x1),1246286,31451898
1491,Comethazine ,Walk,125,0.0,109,0,316063,31394567
1492,Ariana Grande ,fake smile,55,4.0,7,0,2473807,31372470
1493,Mark Ronson ,Nothing Breaks Like a Heart,83,0.0,30,0,651219,31342790
1494,J. Cole ,a m a r i,52,7.0,1,(x1),4106802,31305943
1495,Bastille ,Pompeii,317,0.0,35,0,161098,31300005
1496,Drake ,Elevate,42,4.0,4,0,4686139,31220700
1497,Lil Dicky ,$ave Dat Money,226,0.0,57,0,221733,31206265
1498,Juice WRLD ,Hide,118,0.0,69,0,462306,31171797
1499,Major Lazer ,Know No Better,95,0.0,34,0,561168,31169274
1500,Juice WRLD ,Reminds Me Of You,87,0.0,15,0,961978,31142891
1501,Eminem ,Rap God,296,0.0,116,0,193699,31065356
1502,Nicki Minaj ,The Night Is Still Young,186,0.0,21,0,323254,30764917
1503,Juice WRLD ,Stay High,77,0.0,11,0,2009815,30746480
1504,Rema ,Calm Down,102,0.0,53,0,400319,30698893
1505,Chris Brown ,Party,151,0.0,95,0,251060,30695726
1506,Lil Uzi Vert ,Futsal Shuffle 2020  Bonus Track,86,0.0,13,0,956084,30664662
1507,Nipsey Hussle ,Racks In The Middle,87,0.0,21,0,890275,30654165
1508,Young Stoner Life ,Ski,98,1.0,10,0,983162,30644017
1509,Sam Hunt ,Break Up In A Small Town,212,0.0,42,0,261733,30587273
1510,5 Seconds of Summer,Easier,86,0.0,18,0,793676,30543478
1511,d4vd,Here With Me,71,0.0,20,0,587499,30491119
1512,Ricky Montgomery ,Line Without a Hook,123,0.0,72,0,329732,30484202
1513,Justin Bieber ,The Feeling,128,12.0,7,0,705459,30452912
1514,One Direction ,Steal My Girl,172,7.0,4,0,359542,30423805
1515,Melanie Martinez ,Pity Party,126,0.0,53,0,307533,30351358
1516,Lil Durk ,Still Trappin',112,0.0,42,0,384229,30319214
1517,GloRilla ,Tomorrow 2,86,0.0,39,0,454110,30296028
1518,Bing Crosby ,Winter Wonderland  Remastered,63,0.0,30,0,1655392,30273725
1519,Fetty Wap ,RGF Island,176,0.0,12,0,450960,30265857
1520,Tom Odell ,Another Love,107,0.0,81,0,337198,30208862
1521,Flo Rida ,I Don't Like It I Love It,169,0.0,21,0,315758,30175009
1522,NAV ,Up,128,0.0,68,0,366731,30163651
1523,Gwen Stefani ,You Make It Feel Like Christmas,71,0.0,44,0,1207566,30163041
1524,Andy Williams ,Happy Holiday / The Holiday Season,66,0.0,35,0,1510090,30156265
1525,P!nk ,What About Us,105,0.0,42,0,464544,30152791
1526,Rae Sremmurd ,Throw Sum Mo,246,0.0,28,0,267102,30135936
1527,Nirvana ,Something In The Way  Remastered,68,17.0,2,(x4),858684,30074497
1528,Passenger ,Let Her Go,315,0.0,54,0,197021,30069845
1529,Sam Hunt ,Take Your Time,239,0.0,36,0,194649,30009669
1530,Selena Gomez ,Look At Her Now,67,1.0,5,0,1300093,29986586
1531,Morgan Wallen ,Don't Think Jesus,82,8.0,3,(x3),1448125,29980127
1532,Khalid ,Outta My Head,65,4.0,6,0,1304358,29957244
1533,Offset ,Legacy,84,0.0,12,0,997325,29954925
1534,The Weeknd ,Sacrifice,66,12.0,1,(x2),1950078,29954189
1535,Juice WRLD ,Empty,90,1.0,10,0,1271476,29946861
1536,Måneskin ,I WANNA BE YOUR SLAVE,89,0.0,43,0,448006,29927228
1537,Chris Brown ,Questions,102,0.0,51,0,407975,29925889
1538,Kygo ,Remind Me to Forget,92,0.0,54,0,456343,29883022
1539,Lil Tecca ,LOT OF ME,113,0.0,62,0,323487,29881594
1540,Ricky Montgomery ,Mr Loverman,133,0.0,129,0,261854,29828809
1541,Cashmere Cat ,Trust Nobody,118,0.0,39,0,378441,29819484
1542,Kygo ,First Time,80,0.0,35,0,612805,29815835
1543,Post Malone ,Otherside,55,0.0,14,0,2210236,29781234
1544,Meghan Trainor ,Me Too,148,0.0,59,0,298472,29771261
1545,Amaarae ,SAD GIRLZ LUV MONEY Remix,97,0.0,34,0,509737,29739148
1546,Astrid S ,Hurts So Good,124,0.0,55,0,330109,29711883
1547,Katy Perry ,Dark Horse,286,0.0,24,0,314347,29708371
1548,Russell Dickerson ,Yours,139,0.0,125,0,281544,29689707
1549,YoungBoy Never Broke Again ,Self Control,100,0.0,43,0,489594,29638460
1550,6ix9ine,BEBE,88,0.0,20,0,809697,29590906
1551,Rita Ora ,Your Song,115,0.0,71,0,321684,29588951
1552,Demi Lovato ,Confident,147,0.0,25,0,371526,29572453
1553,Ariana Grande ,Santa Baby,89,0.0,40,0,877452,29568644
1554,Nirvana ,Smells Like Teen Spirit,130,0.0,86,0,330975,29498533
1555,Taylor Swift ,the last great american dynasty,53,8.0,4,0,3348161,29487548
1556,Drake ,Circo Loco,41,6.0,5,0,3373090,29464494
1557,Coldplay ,Sparks,115,0.0,99,0,303312,29456244
1558,Meek Mill ,Litty,139,0.0,72,0,252443,29437095
1559,Ashe ,Moral of the Story,78,0.0,21,0,701392,29433590
1560,Zedd ,Happy Now,70,0.0,29,0,563505,29403914
1561,Lil Pump ,Flex Like Ouu,156,0.0,81,0,355898,29394075
1562,Taylor Swift ,ME!,24,19.0,1,(x3),3578756,29380101
1563,Eminem ,Venom  Music From The Motion Picture,85,0.0,17,0,1067360,29353999
1564,Sam Hunt ,House Party,193,0.0,32,0,255033,29348139
1565,SZA ,Hit Different,110,1.0,5,0,1106414,29320034
1566,Billie Eilish ,Lost Cause,73,1.0,7,0,1349794,29296420
1567,6ix9ine,KEKE,93,0.0,32,0,589107,29292989
1568,Kendrick Lamar ,m.A.A.d city,263,0.0,102,0,281583,29271534
1569,The Chainsmokers ,Setting Fires,106,0.0,26,0,445915,29258354
1570,Eminem ,Killshot,72,0.0,16,0,903340,29215305
1571,Drake ,Behind Barz  Bonus,82,0.0,31,0,643156,29207360
1572,Olivia Holt ,History,112,0.0,60,0,335764,29180302
1573,Lil Baby ,Right On,91,1.0,6,0,740715,29180138
1574,Gym Class Heroes ,Cupid's Chokehold / Breakfast in America,97,0.0,38,0,407597,29175430
1575,Pentatonix ,Hallelujah,110,0.0,46,0,577014,29155877
1576,21 Savage,Glock In My Lap,82,4.0,3,(x1),1688050,29132742
1577,Ariana Grande ,Focus,101,3.0,8,0,549523,29128818
1578,Ed Sheeran ,I See Fire,282,0.0,40,0,177074,29113307
1579,Blueface ,Daddy,101,0.0,71,0,356969,29093232
1580,Future ,Comin Out Strong,109,0.0,21,0,635114,29055414
1581,Fifth Harmony ,Down,98,0.0,50,0,493715,29050601
1582,NAV ,Turks,42,9.0,1,(x1),1751176,28957255
1583,DaBaby ,Red Light Green Light,77,0.0,28,0,601060,28897399
1584,Cardi B ,I Do,73,0.0,11,0,974827,28882876
1585,Moneybagg Yo ,Time Today,102,0.0,45,0,391019,28866424
1586,MadeinTYO ,Ned Flanders,113,0.0,64,0,375554,28845468
1587,ACRAZE ,Do It To It,97,0.0,22,0,505080,28832576
1588,Stephanie Beatriz ,Waiting On A Miracle,83,0.0,27,0,472746,28825661
1589,Kendrick Lamar ,LUST.,63,0.0,11,0,1988044,28788921
1590,J. Cole ,i n t e r l u d e,38,13.0,1,(x1),3145044,28771538
1591,Justin Bieber ,Forever,56,6.0,5,0,1633316,28736753
1592,David Guetta ,This One's for You,110,0.0,43,0,378036,28667578
1593,Bad Bunny ,Dakiti,28,26.0,1,(x1),1205178,28652215
1594,2 Chainz,Watch Out,208,0.0,57,0,224740,28638014
1595,Ed Sheeran ,Antisocial,56,8.0,5,0,1429782,28620933
1596,Bad Bunny ,Ignorantes,69,3.0,10,0,1136259,28586835
1597,Lil Uzi Vert ,Seven Million,134,0.0,58,0,273186,28581478
1598,YG ,Big Bank feat. 2 Chainz Big Sean Nicki Minaj,70,0.0,32,0,557862,28570129
1599,Future ,Crushed Up,63,0.0,15,0,1026166,28566228
1600,Kid Cudi ,Tequila Shots,68,2.0,7,0,2311348,28560505
1601,Cardi B ,Drip,75,1.0,9,0,1001131,28521201
1602,Ryan Hurd ,Chasing After You,121,0.0,103,0,292056,28480751
1603,Kendrick Lamar ,FEEL.,57,6.0,7,0,2349101,28447663
1604,Khalid ,The Ways,64,2.0,9,0,1070652,28436353
1605,Drake ,Feel No Ways,126,0.0,23,0,567701,28402913
1606,J. Cole ,1985  Intro to “The Fall Off”,50,6.0,6,0,2886877,28387561
1607,Grupo Frontera ,No Se Va  En Vivo,81,0.0,44,0,443896,28385161
1608,Khalid ,8TEEN,141,0.0,108,0,252146,28367383
1609,Juice WRLD ,Cigarettes,68,8.0,2,(x2),1182490,28338245
1610,Imagine Dragons ,Bad Liar,79,0.0,25,0,796112,28309482
1611,J. Cole ,A Tale of 2 Citiez,266,0.0,17,0,252293,28230967
1612,Sam Smith ,I'm Not The Only One,223,0.0,18,0,232226,28188250
1613,Frank Ocean ,Chanel,112,0.0,31,0,579404,28098153
1614,Harry Styles ,Keep Driving,53,5.0,9,0,2312194,28086134
1615,Maty Noyes ,in my miNd,122,0.0,60,0,309624,28076264
1616,MAX ,Love Me Less,105,0.0,61,0,411802,28072259
1617,Arctic Monkeys ,Why'd You Only Call Me When You're High?,117,0.0,102,0,271524,28059730
1618,The Weeknd ,Dark Times,162,0.0,15,0,420397,28019756
1619,Nat King Cole ,Deck The Hall,48,0.0,17,0,2280803,27948579
1620,Kendrick Lamar ,Rich Spirit,52,4.0,6,0,3239784,27912896
1621,The Weeknd ,Try Me,46,8.0,2,(x1),2556378,27901035
1622,Joji ,Die For You,50,0.0,19,0,1443735,27893011
1623,John Mayer ,New Light,81,0.0,40,0,629746,27836425
1624,Shakira ,Chantaje,124,0.0,51,0,337025,27834533
1625,Oliver Tree ,Miss You,75,0.0,41,0,440265,27833633
1626,Drake ,TSU,42,6.0,6,0,4395593,27807123
1627,Kendrick Lamar ,Silent Hill,55,6.0,5,0,2968531,27800753
1628,Pentatonix ,Mary Did You Know?,139,0.0,54,0,561407,27768020
1629,Kygo ,Lose Somebody,91,0.0,32,0,644483,27753100
1630,Big Sean ,No Favors,78,7.0,6,0,1022137,27675013
1631,Billie Eilish ,No Time To Die,49,8.0,2,(x1),2227130,27664508
1632,Thurl Ravenscroft ,You're A Mean One Mr. Grinch,80,0.0,37,0,1479714,27659041
1633,Swedish House Mafia ,Moth To A Flame,74,7.0,2,(x1),1367257,27573950
1634,Sage The Gemini ,Now and Later,99,0.0,46,0,354930,27562204
1635,Gunna ,Too Easy,83,0.0,19,0,754954,27502756
